County,Location Lat-Long,Cleanup Type,Cleanup Date,Cleanup Site,Adults,Children,People,Pounds,Miles,Bags,Cigarette Butts,Food Wrappers,Take Out/Away Containers (Plastic),Take Out/Away Containers (Foam),Bottle Caps (Plastic),Bottle Caps (Metal),Lids (Plastic),"Straws, Stirrers","Forks, Knives, Spoons",Beverage Bottles (Plastic),Beverage Bottles (Glass),Beverage Cans,Grocery Bags (Plastic),Other Plastic Bags,Paper Bags,"Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps",Fishing Net & Pieces,Fishing Line,Rope,6-Pack Holders,Other Plastic/Foam Packaging,Other Plastic Bottles,Strapping Bands,Tobacco Packaging/Wrap,Appliances,Balloons,Cigar Tips,Cigarette Lighters,Construction Materials,Fireworks,Tires,Toys,Condoms,Diapers,Syringes,Tampons/Tampon Applicators,Foam Pieces,Glass Pieces,Plastic Pieces,"Clothing, Shoes",Shotgun Shells/Wadding,Light Bulbs/Tubes,Batteries,Cars/Car Parts,55-Gallon Drums
Kent,"(39.102739, -75.402356)",Beach,09/20/2008,Kitts Hummock,,,45,1500,1,21,8,64,,,141,73,,52,31,111,40,123,81,,19,,,,20,1,28,12,4,6,15,4,4,,26,16,27,219,,4,11,,,3,15,,,,11,70,1,,4,3
Kent,"(39.085748, -75.421875)",Beach,09/20/2008,Ted Harvey WLA/ Ted Harvey Wildlife Area,,,45,165,2,13,4,12,,,18,,,21,23,62,18,46,28,,,,,,5,,3,10,2,5,14,,,,10,,5,0,,4,3,,,,,,,,4,33,2,,,
New Castle,"(39.738765, -75.53939)",Beach,09/20/2008,E. 7th Street - Barbiarz Park,,,18,180,1,18,172,100,,,68,7,,43,35,68,41,70,133,,44,,,,21,,32,7,,2,2,,11,1,0,4,8,7,,,11,40,,,,,,,20,,2,4,3,
New Castle,"(39.664715, -75.557785)",Beach,09/20/2008,Battery Park,,,51,892,0.5,52,541,871,,,1446,112,,598,303,759,206,111,290,,52,,,,13,2,8,33,18,23,30,25,25,0,20,163,43,104,,10,122,3,,26,48,,,,37,12,2,0,19,0
New Castle,"(39.504724, -75.580976)",Beach,09/20/2008,Augustine Beach Boat Ramp,,,70,2200,1,0,75,7,,,110,2,,80,25,200,40,20,60,,20,,,,3,2,4,2,7,11,2,1,5,1,1,9,7,10,,,3,,5,,5,,,,14,,,,2,
New Castle,"(39.509128, -75.636548)",Beach,09/20/2008,Augustine Creek,,,6,600,0.25,41,15,29,,,47,9,,0,10,67,59,89,62,,25,,,,19,,14,9,3,14,6,,21,,0,,3,62,,7,13,2,4,,,,,,12,0,,,16,
New Castle,"(39.4783301, -75.60167)",Beach,09/20/2008,Augustine Beach WLA/ Augustine Beach- Impoundment,,,23,1235,0.5,34,139,325,,,446,52,,95,192,390,149,108,189,,22,,,,26,,82,61,7,43,17,2,26,,4,32,35,9,,29,22,1,6,4,6,,,,53,12,3,,5,
Kent,"(39.137057, -75.409641)",Beach,09/20/2008,Pickering Beach,,,15,100,1,0,4,62,,,52,14,,28,4,86,41,28,32,,14,,,,7,3,3,5,,7,14,17,2,,23,3,8,26,,1,23,,4,,1,,,,3,11,1,2,1,
Kent,"(39.35, -75.50111)",Beach,09/20/2008,Woodland Beach WLA/ Woodland Beach-McKay,,,15,100,1,0,86,62,,,41,1,,13,68,60,64,49,59,,39,,,,7,1,1,1,5,5,0,1,17,1,,3,13,43,,2,1,2,1,,,,,,6,2,,4,,
Kent,"(39.006766, -75.370143)",Beach,09/20/2008,Bennetts Pier,,,20,1500,1,20,564,115,,,387,62,,55,68,263,310,190,187,,35,,,,13,1,246,33,17,95,11,1,10,,18,21,1,10,,8,3,7,1,,4,,,,19,16,4,,2,
